id;title;description;availability;condition;price;link;image_link;brand
177887122383668785;SABÃO EM  PÓ ASSIM BICARBONATO - LAVA ROUPAS 2,2KG;SABÃO EM  PÓ ASSIM BICARBONATO - LAVA ROUPAS 2,2KG;in stock;new;23.9 BRL;https://donaantonia.com.br/produto/177887122383668785;../site/img/produtos_2/2238360907.webp;ASSIM
177887105016512788;Desumidificador Secar Original Floral 180g;Desumidificador Secar Original Floral 180g;in stock;new;11.9 BRL;https://donaantonia.com.br/produto/177887105016512788;../site/img/produtos_2/0501650491.webp;SECAR
177887094073418397;Desumidificador Secar Original Lavanda 180g;Desumidificador Secar Original Lavanda 180g;in stock;new;11.9 BRL;https://donaantonia.com.br/produto/177887094073418397;../site/img/produtos_2/9407340350.webp;SECAR
177886794428389050;CIF COZINHA DESENGORDURANTE 450ML REFIL;CIF COZINHA DESENGORDURANTE 450ML REFIL;in stock;new;13.9 BRL;https://donaantonia.com.br/produto/177886794428389050;../site/img/produtos_2/9442830713.webp;CIF
177885245693117029;DOCE DE MORANGO 400g - Forno Velho;DOCE DE MORANGO 400g - Forno Velho;in stock;new;15.9 BRL;https://donaantonia.com.br/produto/177885245693117029;../site/img/produtos_2/4569310733.webp;ENGENHO VELHO
177885233622851732;DOCE DE ABÓBORA E COCO 400g - Forno Velho;DOCE DE ABÓBORA E COCO 400g - Forno Velho;in stock;new;15.9 BRL;https://donaantonia.com.br/produto/177885233622851732;../site/img/produtos_2/3362280788.webp;ENGENHO VELHO
177885134238805873;Geleia de Laranja - 420g (Classica) - Forno Velho;Geleia de Laranja - 420g (Classica) - Forno Velho;in stock;new;24.9 BRL;https://donaantonia.com.br/produto/177885134238805873;../site/img/produtos_2/P-QJTF.webp;ENGENHO VELHO
177885086046307912;Dove Oleo e Serum Bifasico UV Repair & Glow + Ferulico 110ml;Dove Oleo e Serum Bifasico UV Repair & Glow + Ferulico 110ml;in stock;new;29.9 BRL;https://donaantonia.com.br/produto/177885086046307912;../site/img/produtos_2/P-1BAF.webp;DOVE
177884596702643363;Desinfetante Girando Sol JASIM 2L;Desinfetante Girando Sol JASIM 2L;in stock;new;9.3 BRL;https://donaantonia.com.br/produto/177884596702643363;../site/img/produtos_2/9670260080.webp;GIRANDO SOL
177884581105843785;Kit Tresemmé Shampoo 350ml+Cond 175ml COLÁGENO ARGININA;Kit Tresemmé Shampoo 350ml+Cond 175ml COLÁGENO ARGININA;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/177884581105843785;../site/img/produtos_2/8110580386.webp;TRESEMME
177884572579581869;Kit Tresemmé Shampoo 350ml+Cond 175ml PANTENOL NIACINAMIDA;Kit Tresemmé Shampoo 350ml+Cond 175ml PANTENOL NIACINAMIDA;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/177884572579581869;../site/img/produtos_2/7257950837.webp;TRESEMME
177884555767618385;Kit Tresemmé Shampoo 350ml+Cond 175ml BLINDAGEM ANTIUMIDADE;Kit Tresemmé Shampoo 350ml+Cond 175ml BLINDAGEM ANTIUMIDADE;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/177884555767618385;../site/img/produtos_2/5576760391.webp;TRESEMME
177884514938964892;Kit Tresemmé Shampoo 350ml+Cond 175ml Brilho lamelar;Kit Tresemmé Shampoo 350ml+Cond 175ml Brilho lamelar;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/177884514938964892;../site/img/produtos_2/1493890706.webp;TRESEMME
177884423879136830;TRESemme Brilho Lamelar Mascara de Tratamento 400 G;TRESemme Brilho Lamelar Mascara de Tratamento 400 G;in stock;new;27.9 BRL;https://donaantonia.com.br/produto/177884423879136830;../site/img/produtos_2/P-ON1M.webp;TRESEMME
177884423879015570;TRESemme Pro-Hidratacao Ativa Mascara de Tratamento 400 G;TRESemme Pro-Hidratacao Ativa Mascara de Tratamento 400 G;in stock;new;27.9 BRL;https://donaantonia.com.br/produto/177884423879015570;../site/img/produtos_2/P-T14H.webp;TRESEMME
177884423879005731;TRESemme Detox Capilar Mascara de Tratamento 400 G;TRESemme Detox Capilar Mascara de Tratamento 400 G;in stock;new;27.9 BRL;https://donaantonia.com.br/produto/177884423879005731;../site/img/produtos_2/P-ZASL.webp;TRESEMME
177884345901395057;AMACIANTE DOWNY CONCENTRADO LÍRIOS DO CAMPO 3L;AMACIANTE DOWNY CONCENTRADO LÍRIOS DO CAMPO 3L;in stock;new;54.9 BRL;https://donaantonia.com.br/produto/177884345901395057;../site/img/produtos_2/4590130410.webp;DOWNY
177884333190222700;AMACIANTE DOWNY CONCENTRADO VERÃO TROPICAL 3L;AMACIANTE DOWNY CONCENTRADO VERÃO TROPICAL 3L;in stock;new;54.9 BRL;https://donaantonia.com.br/produto/177884333190222700;../site/img/produtos_2/3319020659.webp;DOWNY
177879026917773234;SABÃO LÍQUIDO BRILHANTE EXTRAORDINÁRIO - LAVA ROUPAS 3L;SABÃO LÍQUIDO BRILHANTE EXTRAORDINÁRIO - LAVA ROUPAS 3L;in stock;new;32.9 BRL;https://donaantonia.com.br/produto/177879026917773234;../site/img/produtos_2/2691770835.webp;BRILHANTE
177879018497725148;Lava-Roupas Liquido Omo Puro Cuidado Frasco 3l;Lava-Roupas Liquido Omo Puro Cuidado Frasco 3l;in stock;new;45.9 BRL;https://donaantonia.com.br/produto/177879018497725148;../site/img/produtos_2/1849770972.webp;OMO
177879002588245853;Lava-Roupas Liquido Omo Lavagem Perfeita Frasco 3l;Lava-Roupas Liquido Omo Lavagem Perfeita Frasco 3l;in stock;new;45.9 BRL;https://donaantonia.com.br/produto/177879002588245853;../site/img/produtos_2/0258820562.webp;OMO
177878989822677097;SABÃO EM  PÓ BRILHANTE - LAVA ROUPAS 2,2KG;SABÃO EM  PÓ BRILHANTE - LAVA ROUPAS 2,2KG;in stock;new;26.9 BRL;https://donaantonia.com.br/produto/177878989822677097;../site/img/produtos_2/8982260381.webp;BRILHANTE
177878946107515578;SABÃO EM  PÓ BRILHANTE - LAVA ROUPAS 1,6KG;SABÃO EM  PÓ BRILHANTE - LAVA ROUPAS 1,6KG;in stock;new;18.9 BRL;https://donaantonia.com.br/produto/177878946107515578;../site/img/produtos_2/4610750104.webp;BRILHANTE
17785583339168212;LAVA LOUÇA DETERGENTE OESTE 500ML - NEUTRO;LAVA LOUÇA DETERGENTE OESTE 500ML - NEUTRO;in stock;new;2.69 BRL;https://donaantonia.com.br/produto/17785583339168212;../site/img/produtos_2/3339160025.webp;OESTE
177851005548097225;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;in stock;new;15.9 BRL;https://donaantonia.com.br/produto/177851005548097225;../site/img/produtos_2/0554800381.webp;OMO
1778161340293;LEITE NINHO TRADICIONAL 1 LITRO;LEITE NINHO TRADICIONAL 1 LITRO;in stock;new;7.49 BRL;https://donaantonia.com.br/produto/1778161340293;../site/img/produtos_2/61340293.webp;NESTLE
1778161264893;LEITE PARMALAT TRADICIONAL 1 LITRO;LEITE PARMALAT TRADICIONAL 1 LITRO;in stock;new;6.79 BRL;https://donaantonia.com.br/produto/1778161264893;../site/img/produtos_2/61264893.webp;PARMALAT
1778161195085;LEITE PIRACANJUBA SEMIDESNATADO 1 LITRO;LEITE PIRACANJUBA SEMIDESNATADO 1 LITRO;in stock;new;6.19 BRL;https://donaantonia.com.br/produto/1778161195085;../site/img/produtos_2/61195085.webp;PIRACANJUBA
1778161133501;LEITE PIRACANJUBA INTEGRAL 1 LITRO;LEITE PIRACANJUBA INTEGRAL 1 LITRO;in stock;new;6.49 BRL;https://donaantonia.com.br/produto/1778161133501;../site/img/produtos_2/61133501.webp;PIRACANJUBA
1778011964904;L'Oreal Paris Elseve Serum Capilar Elixir Prolongador de Gloss Glycolic Gloss, 72 Horas de Duracao, Sela Intensamente os;L'Oreal Paris Elseve Serum Capilar Elixir Prolongador de Gloss Glycolic Gloss, 72 Horas de Duracao, Sela Intensamente os;in stock;new;32.9 BRL;https://donaantonia.com.br/produto/1778011964904;../site/img/produtos_2/P-AEUJ.webp;ELSEVE
177850826754256242;Harpic Power Plus Desinfetante e Desodorizador Sanitario em Gel Lavanda 500ml;Harpic Power Plus Desinfetante e Desodorizador Sanitario em Gel Lavanda 500ml;in stock;new;16.9 BRL;https://donaantonia.com.br/produto/177850826754256242;../site/img/produtos_2/P-F0QU.webp;HARPIC
177850826754266287;Leave-In L'Oreal Paris Elseve Reparacao Total 5 Cicatri Renov, Reparacao Instantanea, Desembaraco Imediato, Repara os Da;Leave-In L'Oreal Paris Elseve Reparacao Total 5 Cicatri Renov, Reparacao Instantanea, Desembaraco Imediato, Repara os Da;in stock;new;24.9 BRL;https://donaantonia.com.br/produto/177850826754266287;../site/img/produtos_2/P-8459.webp;ELSEVE
1778010792396;Beta Hidratante Labial com Cor - Vermelho Rubi 9,5g + Roxo Ametista 9,5g;Beta Hidratante Labial com Cor - Vermelho Rubi 9,5g + Roxo Ametista 9,5g;in stock;new;36.9 BRL;https://donaantonia.com.br/produto/1778010792396;../site/img/produtos_2/P-38IY.webp;BETA
177850826754283939;Beta Hidratante Labial - Morango 9,5g;Beta Hidratante Labial - Morango 9,5g;in stock;new;20.9 BRL;https://donaantonia.com.br/produto/177850826754283939;../site/img/produtos_2/P-U2O3.webp;Dona Antônia
177850826754294160;NIVEA Protetor Labial Med Repair FPS15 4,8g - Hidrata e regenera os labios ressecados e machucados, com Vitamina E e ole;NIVEA Protetor Labial Med Repair FPS15 4,8g - Hidrata e regenera os labios ressecados e machucados, com Vitamina E e ole;in stock;new;26.9 BRL;https://donaantonia.com.br/produto/177850826754294160;../site/img/produtos_2/P-H7L5.webp;NIVEA
1778009762162;LIP OIL | MEL E PANTENOL | DAPOP | 5ml;LIP OIL | MEL E PANTENOL | DAPOP | 5ml;in stock;new;24.9 BRL;https://donaantonia.com.br/produto/1778009762162;../site/img/produtos_2/09762162.webp;Dona Antônia
