Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
628323;PEDIDO 628323;13/05/2026;OVO - 1 DUZIA;15026198;UN;1;9,50;9,50;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;BUCHA DE LAVAR LOUÇA;16109433;UN;1;0,99;0,99;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;TEMPERO COMPLETO TIO JONAS 300g- COM PIMENTA;77293314;UN;2;3,29;6,58;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;LAVA LOUÇA DETERGENTE OESTE 500ML - NEUTRO;3339160025;UN;2;2,69;5,38;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;3;18,20;54,60;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;3;7,89;23,67;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;3;5,99;17,97;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;3;6,79;20,37;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;2;15,90;31,80;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;2;2,79;5,58;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;2;1,79;3,58;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;MILHO VERDE FUGINI SH 170GR;P0239;UN;1;3,29;3,29;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;FARNESE SABONETE FRAMBOESA E BAUNILHA 85G;P0283;UN;3;1,99;5,97;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;CREME DENTAL DENTAL SORRISO TRIPLA 70G;P0105;UN;2;3,29;6,58;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;0554800381;UN;1;15,90;15,90;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;SABÃO EM BARRA YPE 800G;P491;UN;1;15,90;15,90;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;AMACIANTE YPE 2L ACONCHEGO;P0018;UN;1;11,90;11,90;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;DESINFETANTE REMMUS AMAZON VERDE 2LTS;P447;UN;1;5,99;5,99;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
628323;PEDIDO 628323;13/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;1;1,99;1,99;252,43;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
