Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
052471;PEDIDO 052471;13/05/2026;SALSICHA PRONTA BORDON 180G;58089827;UN;1;6,90;6,90;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;LAVA LOUÇA DETERGENTE OESTE 500ML - NEUTRO;3339160025;UN;2;2,69;5,38;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;1;18,20;18,20;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;AZEITONA VALE FERTIL COM CAROLO 80GR;P0028;UN;1;2,90;2,90;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;PIMENTA CALABRESA DIODORO 10GR;P0267;UN;1;2,40;2,40;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;VINAGRE DE ALCOOL NEVAL 750ML;P484;UN;1;2,70;2,70;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;DESINFETANTE OESTE LAVANDA 2 LITROS;P0126;UN;1;6,50;6,50;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;Cif Cremoso Oringial 450 Ml;373765D;UN;1;17,90;17,90;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;VEJA MULTIUSO 500ML;P0323;UN;1;4,99;4,99;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;RODO GUIRADO PLASTICO 40CM COM CABO;P0274;UN;1;10,63;10,63;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;MISTURA PARA BOLO APTI 400G CHOCOLATE;P481;UN;2;4,79;9,58;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;SALGADINHO TORCIDA 35G - CHURRASCO;7892840822477;UN;2;1,90;3,80;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;BALA FINI GELATINA AMORAS 15G;P0030;UN;3;1,69;5,07;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;"BISCOITO LIANE CREAM CRACKER 330GR ";650498E;UN;1;5,99;5,99;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;BISCOITO MABEL LEITE 300G;P0055;UN;1;6,49;6,49;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
052471;PEDIDO 052471;13/05/2026;Achocolatado em Po Nescau 550G;428909M;UN;1;21,90;21,90;131,33;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
