Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
260653;PEDIDO 260653;12/05/2026;LAVA LOUÇA DETERGENTE MINUANO 500ML - NEUTRO;3339160025;UN;4;2,69;10,76;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;ARROZ KOBLENZ 5KG;P500;UN;4;21,50;86,00;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;4;7,89;31,56;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;3;5,99;17,97;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;2;6,79;13,58;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;SAL CRISTAL OURO 1KG;P0304;UN;1;2,79;2,79;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;FARINHA TRIGO VITORIOSA 1KG;P0151;UN;1;3,69;3,69;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;2;15,90;31,80;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;1;2,79;2,79;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;2;1,79;3,58;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;BOLACHA WAFER MY BIT 80G CHOC;P0060;UN;2;2,49;4,98;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;PAPEL HIGIÊNICO SOBERANO 4X30M;A102;UN;2;5,29;10,58;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;CREME DENTAL DENTAL SORRISO TRIPLA 70G;P0105;UN;2;3,29;6,58;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;0554800381;UN;2;15,90;31,80;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;SABÃO EM BARRA MINUANO GLICERINAD 5X160G;P0292;UN;1;13,90;13,90;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;5;4,89;24,45;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;DESINFETANTE OESTE LAVANDA 2 LITROS;P0126;UN;1;6,50;6,50;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;1;1,99;1,99;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;CREME DE LEITE PIRACANJUBA 200GR;P0108;UN;2;3,69;7,38;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;ALBANY  SABONETE ANTIBAC LIMPEZA PROFUNDA 80G;P0279;UN;4;1,99;7,96;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;SARDINHA COQUEIRO MOLHO TOMATE 125GR;P0307;UN;2;6,30;12,60;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
260653;PEDIDO 260653;12/05/2026;VEJA MULTIUSO 500ML;P0323;UN;1;4,99;4,99;338,23;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
