Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
772762;PEDIDO 772762;13/05/2026;OVO - 1 DUZIA;15026198;UN;1;9,50;9,50;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;BUCHA DE LAVAR LOUÇA;16109433;UN;1;0,99;0,99;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;MACARRÃO LÁMEN APTI GALINHA 70G MIOJO;76409162;UN;2;1,79;3,58;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;TEMPERO COMPLETO TIO JONAS 300g- COM PIMENTA;77293314;UN;1;3,29;3,29;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;3;18,20;54,60;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;3;7,89;23,67;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;2;5,99;11,98;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;3;6,79;20,37;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;SAL CRISTAL OURO 1KG;P0304;UN;1;2,79;2,79;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;FARINHA TRIGO VITORIOSA 1KG;P0151;UN;1;3,69;3,69;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;2;15,90;31,80;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;2;2,79;5,58;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;2;1,79;3,58;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;MILHO VERDE FUGINI SH 170GR;P0239;UN;1;3,29;3,29;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;MISTURA PARA BOLO APTI 400G CHOCOLATE;P481;UN;1;4,79;4,79;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;BOLACHA WAFER MY BIT 80G CHOC;P0060;UN;2;2,49;4,98;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;SUCO PO FRISCO UVA 18G;P0311;UN;3;0,85;2,55;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;PAPEL HIGIÊNICO SOBERANO 4X30M;A102;UN;2;5,29;10,58;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;FARNESE SABONETE FRAMBOESA E BAUNILHA 85G;P0283;UN;3;1,99;5,97;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;CREME DENTAL DENTAL SORRISO TRIPLA 70G;P0105;UN;2;3,29;6,58;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;0554800381;UN;1;15,90;15,90;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;SABÃO EM BARRA YPE 800G;P491;UN;1;15,90;15,90;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;AMACIANTE YPE 2L ACONCHEGO;P0018;UN;1;11,90;11,90;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;DESINFETANTE REMMUS AMAZON VERDE 2LTS;P447;UN;1;5,99;5,99;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
772762;PEDIDO 772762;13/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;1;1,99;1,99;270,73;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
