Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
840705;PEDIDO 840705;13/05/2026;OVO - 1 DUZIA;15026198;UN;3;9,50;28,50;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;GATORADE 500ML MORANGO;33687210;UN;3;6,29;18,87;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;NIVEA DESODORANTE ROLLON DERMA CONTROL 50ML;42940421;UN;1;10,90;10,90;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;CAFÉ BRASILEIRO TRADICIONAL 250G;59854062;UN;1;14,90;14,90;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;LEITE PIRACANJUBA INTEGRAL 1 LITRO;61133501;UN;6;6,49;38,94;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;TEMPERO COMPLETO TIO JONAS 300g- ALHO E SAL;77517794;UN;1;3,29;3,29;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;3;18,20;54,60;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;1;5,99;5,99;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;MILHO VERDE FUGINI SH 170GR;P0239;UN;2;3,29;6,58;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;SARDINHA COQUEIRO 125GR;P0306;UN;3;6,30;18,90;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;3;7,89;23,67;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;6;6,79;40,74;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;3;1,79;5,37;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;3;1,99;5,97;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;DESINFETANTE REMMUS AMAZON VERDE 2LTS;P447;UN;1;5,99;5,99;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;SABÃO PO TIXAN PRIMAVERA CX AZUL 800GR;P0300;UN;1;13,90;13,90;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
840705;PEDIDO 840705;13/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;302,00;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;13/05/2026
