Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
509177;PEDIDO 509177;12/05/2026;SALGADINHO BEBELA SABOR PIZZA 50G;54658038;UN;1;1,95;1,95;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;SALGADINHO BEBELA SABOR QUEIJO 50G;55016206;UN;1;1,95;1,95;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;KIT SHAMPOO 350ML + CONDICIONADOR 175ML LISO EXTREMO - PANTENE PRO-V;75979255;UN;2;35,00;70,00;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;TEMPERO COMPLETO TIO JONAS 300g- ALHO E SAL;77517794;UN;1;3,29;3,29;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;BOLACHA WAFER MY BIT 80G MORANGO;78637938;UN;1;2,49;2,49;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;SALGADINHO BEBELA CEBOLA 50G;85490714;UN;1;1,95;1,95;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;CREME DENTAL CLOSE-UP 70G - MENTA;90677467;UN;2;3,79;7,58;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;PANO LIMPEZA GRANDE 70X40cm XADREZ;92238569;UN;1;5,90;5,90;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;ARROZ TIO BONINI 5KG;P0026;UN;1;18,20;18,20;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;2;7,89;15,78;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;1;5,99;5,99;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;2;6,79;13,58;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;SAL CRISTAL OURO 1KG;P0304;UN;1;2,79;2,79;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;1;15,90;15,90;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;1;2,79;2,79;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;2;1,79;3,58;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;MILHO VERDE FUGINI SH 170GR;P0239;UN;2;3,29;6,58;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;BOLACHA WAFER MY BIT 80G CHOC;P0060;UN;1;2,49;2,49;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;FARNESE SABONETE FRAMBOESA E BAUNILHA 85G;P0283;UN;1;1,99;1,99;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;AMACIANTE YPE 2L ACONCHEGO;P0018;UN;1;11,90;11,90;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
509177;PEDIDO 509177;12/05/2026;LAVA LOUÇA YPE 500ML - NEUTRO;P498;UN;1;2,69;2,69;483,71;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
