Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
989150;PEDIDO 989150;12/05/2026;OVO - 1 DUZIA;15026198;UN;1;9,50;9,50;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;BUCHA DE LAVAR LOUÇA;16109433;UN;1;0,99;0,99;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;LAVA LOUÇA DETERGENTE MINUANO 500ML - NEUTRO;3339160025;UN;2;2,69;5,38;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;ARROZ KOBLENZ 5KG;P500;UN;3;21,50;64,50;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;3;7,89;23,67;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;2;5,99;11,98;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;7;6,79;47,53;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;SAL CRISTAL OURO 1KG;P0304;UN;1;2,79;2,79;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;CAFÉ  CABOCLO VACUO 250G;C0067;UN;1;15,90;15,90;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;MACARRÃO ESPAGUETE QDELICIA OVOS 500G;P497;UN;1;2,79;2,79;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;MOLHO DE TOMATE FUGINI 300G;P0244;UN;1;1,79;1,79;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;MILHO VERDE FUGINI SH 170GR;P0239;UN;1;3,29;3,29;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;FARNESE SABONETE FRAMBOESA E BAUNILHA 85G;P0283;UN;2;1,99;3,98;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;LAVA ROUPA SABÃO PO OMO 800G LAVANDA;0554800381;UN;1;15,90;15,90;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;SABÃO EM BARRA YPE 800G;P491;UN;1;15,90;15,90;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;AMACIANTE YPE 2L ACONCHEGO;P0018;UN;1;11,90;11,90;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;QBOA ÁGUA SANITÁRIA 1L;P0015;UN;1;4,89;4,89;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
989150;PEDIDO 989150;12/05/2026;ESPONJA DE AÇO ASSOLAN 45G;P0144;UN;1;1,99;1,99;244,67;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
