Número pedido;Nome Comprador;Data;Produto;SKU;Un;Quantidade;Valor Unitário;Valor Total;Total Pedido;Valor Frete Pedido;Valor Desconto Pedido;Outras despesas;Tipo Frete;Observações;Qtd Parcela;Data Prevista
759198;PEDIDO 759198;12/05/2026;Giovanna Baby Desodorante Roll-On Blue 50ml;61000598;UN;2;7,99;15,98;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;AMACIANTE MONBIJOU 5L + PERFUME;77480249;UN;1;22,90;22,90;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;LAVA LOUÇA DETERGENTE MINUANO 500ML - NEUTRO;3339160025;UN;2;2,69;5,38;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;ARROZ KOBLENZ 5KG;P500;UN;1;21,50;21,50;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;FEIJÃO CARIOCA DA CASA 1KG;P490;UN;2;7,89;15,78;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;AÇÚCAR CRISTAL DOCE DIA 2KG;P426;UN;1;5,99;5,99;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;OLEO DE SOJA LIZA 900ML;P0248;UN;3;6,79;20,37;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;SABÃO EM BARRA YPE 800G;P491;UN;1;15,90;15,90;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;LAVA ROUPA SABÃO PO OMO 2.4KG;P577;UN;1;39,90;39,90;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;SABÃO EM PÓ OMO LAVAGEM PERFEITA SANITIZA & HIGIENIZA 2.2KG;698545D;UN;1;36,90;36,90;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
759198;PEDIDO 759198;12/05/2026;PILHA RAYOVAC PALITO AAA 4un;P0266;UN;1;6,90;6,90;207,50;0,00;0,00;0,00;R;Pedido importado via Sucedoan PIM;1;12/05/2026
